Accuracy: 0.8553, Precision: 0.8651, Recall: 0.8499, F1: 0.8574
Accuracy: 0.8855, Precision: 0.9598, Recall: 0.8104, F1: 0.8788
Accuracy: 0.9062, Precision: 0.9145, Recall: 0.9010, F1: 0.9077

Accuracy: 0.8498, Precision: 0.9381, Recall: 0.7565, F1: 0.8376
Accuracy: 0.8749, Precision: 0.9471, Recall: 0.8004, F1: 0.8676
Accuracy: 0.9049, Precision: 0.9126, Recall: 0.9006, F1: 0.9066
Accuracy: 0.8806, Precision: 0.8504, Recall: 0.9305, F1: 0.8887
Accuracy: 0.9021, Precision: 0.9274, Recall: 0.8774, F1: 0.9017
Accuracy: 0.9135, Precision: 0.9407, Recall: 0.8870, F1: 0.9131
Accuracy: 0.9101, Precision: 0.9067, Recall: 0.9190, F1: 0.9128
Accuracy: 0.9092, Precision: 0.9167, Recall: 0.9050, F1: 0.9108
Accuracy: 0.9096, Precision: 0.9233, Recall: 0.8982, F1: 0.9106
Accuracy: 0.9035, Precision: 0.8945, Recall: 0.9202, F1: 0.9071
Accuracy: 0.9101, Precision: 0.9148, Recall: 0.9090, F1: 0.9119
Accuracy: 0.9070, Precision: 0.9113, Recall: 0.9066, F1: 0.9089
Accuracy: 0.9058, Precision: 0.9075, Recall: 0.9086, F1: 0.9080
Accuracy: 0.9060, Precision: 0.9145, Recall: 0.9006, F1: 0.9075
Accuracy: 0.9043, Precision: 0.9046, Recall: 0.9090, F1: 0.9068
